"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting with Polling.nlogo"
"does-polling-converge"
"08/06/2019 10:32:16:004 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","number-of-voters","proportion-of-strategic-voters","vote-portion-strategic","number-of-issues","poll-response-rate","utility-distribution","[step]","poll","total-utility-gain","maximal-utility?"
"156","1500","0.1","1","2","1","Normal mean = 0","50","[5.987450561462114 23.6066383327534]","[0.5368546925678391 7.267381408041541]","true"
"166","1500","0.1","1","2","1","Normal mean = 0","50","[1.8410938609579994 3.6251753226429035]","[-5.971316590902327 -3.669605703628349]","false"
"160","1500","0.1","1","2","1","Normal mean = 0","50","[34.93674829361839 19.449781882431964]","[10.590329662951612 9.345377880637391]","true"
"163","1500","0.1","1","2","1","Normal mean = 0","50","[-1.7691434686354213 -45.92385817713094]","[0.32410188931317563 1.6222295589554827]","true"
"167","1500","0.1","1","2","1","Normal mean = 0","50","[-2.048913853584737 -1.000592130267244]","[-4.5504955487095495 -3.424762539273055]","false"
"172","1500","0.1","1","2","1","Normal mean = 0","50","[-48.73581816120141 -4.740707986848157]","[11.27960038700105 3.126735631381093]","true"
"173","1500","0.1","1","2","1","Normal mean = 0","50","[-45.9480805961215 -34.929528270320354]","[9.369696517502463 5.71785179340951]","true"
"176","1500","0.1","1","2","1","Normal mean = 0","50","[37.28895703470938 1.0636783835583214]","[6.537560671862256 0.24783501868891272]","true"
"179","1500","0.1","1","2","1","Normal mean = 0","50","[-26.766732452388446 36.23498341421306]","[15.086211822614906 7.176554712062181]","true"
"168","1500","0.1","1","2","1","Normal mean = 0","50","[33.24716267010279 -14.419583765084154]","[7.980139055235317 7.6186292149972275]","true"
"169","1500","0.1","1","2","1","Normal mean = 0","50","[1.7209099210452408 5.705616719123074]","[1.6901969641085601 -3.6585047213901603]","false"
"180","1500","0.1","1","2","1","Normal mean = 0","50","[24.18732657937056 11.426846432362831]","[5.0040299432570166 8.336996510128106]","true"
"170","1500","0.1","1","2","1","Normal mean = 0","50","[-26.062373073293593 -3.14504109945589]","[7.735863771850712 3.771602819898395]","true"
"171","1500","0.1","1","2","1","Normal mean = 0","50","[-2.1932180031033828 -2.5912592015939584]","[5.633122159954621 2.861205733463837]","true"
"174","1500","0.1","1","2","1","Normal mean = 0","50","[-0.8205939895522018 27.935785543924677]","[2.5284252800817253 10.658654168156186]","true"
"175","1500","0.1","1","2","1","Normal mean = 0","50","[10.944604316918392 -6.777757196386289]","[5.969278493264082 7.087817963008561]","true"
"181","1500","0.1","1","2","1","Normal mean = 0","50","[-16.23853079433357 4.272072519626419]","[5.488177102529412 0.8614506010015155]","true"
"177","1500","0.1","1","2","1","Normal mean = 0","50","[15.479247804740025 -41.30258774150279]","[11.276032754968135 12.363306527808849]","true"
"183","1500","0.1","1","2","1","Normal mean = 0","50","[17.383054490488856 5.210023833850836]","[7.6772491638803295 -1.1727441584138245]","false"
"182","1500","0.1","1","2","1","Normal mean = 0","50","[-65.0218006599712 -7.448438012044246]","[16.962454725177043 1.5892393500190307]","true"
"178","1500","0.1","1","2","1","Normal mean = 0","50","[-5.114453889305045 11.983212592147817]","[7.386763320785314 0.40315987597409486]","true"
"186","1500","0.1","1","2","1","Normal mean = 0","50","[2.2944089328544424 -52.45646291257378]","[7.306796145129843 12.579738011733626]","true"
"193","1500","0.1","1","2","1","Normal mean = 0","50","[14.086462162465915 27.783139607416228]","[1.9659444240078596 5.8570038450936]","true"
